product_name_en,brands,quantity,category,subcategory,labels,ingredients_text_en,energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,fiber_value,proteins_value,sodium_value,monounsaturated-fat_value,polyunsaturated-fat_value,trans-fat_value,cholesterol_value,added-sugars_value,off:nova_groups,off:nutriscore_grade,has_gluten,has_milk,has_soybeans,has_nuts,has_mustards,has_peanuts,has_sulphur-dioxide-and-sulphites,has_sesame-seeds,health_score_standard,health_label_standard,health_confidence_standard,health_score_diabetic,health_label_diabetic,health_confidence_diabetic,health_score_hypertension,health_label_hypertension,health_confidence_hypertension,health_score_bodybuilder,health_label_bodybuilder,health_confidence_bodybuilder,health_score_vegan,health_label_vegan,health_confidence_vegan,health_score_vegetarian,health_label_vegetarian,health_confidence_vegetarian,health_score_eggetarian,health_label_eggetarian,health_confidence_eggetarian,health_score_jain,health_label_jain,health_confidence_jain,health_score_pregnancy,health_label_pregnancy,health_confidence_pregnancy,health_score_lactating,health_label_lactating,health_confidence_lactating,health_score_elderly,health_label_elderly,health_confidence_elderly
Sumeru Fries,Sumeru,400g,Snacks,"Chips, Wafers & Crisps","Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Choki Choki Chocolate Milk,"Choki Choki, Mayora",,Beverages,Soft Drinks & Sodas,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Ram Bandhu Sambar Masala,Ram Bandhu,,Condiments,Sauces & Ketchup,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Jimjam Pops,Britannia,350g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","REFINED WHEAT FLOUR (MAIDA), SUGAR, REFINED PALM OIL & INTERESTERIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, MILK SOLIDS, EDIBLE MAIZE STARCH, FRUIT PRODUCTS (1%) (APPLE JUICE CONCENTRATE, BANANA POWDER, PLUM JUICE CONCENTRATE), EMULSIFIERS [322(i) & 471], IODISED SALT, ARTIFICIAL (VANILLA, RASPBERRY, PINEAPPLE, APRICOT) & NATURE IDENTICAL FLAVOURING SUBSTANCES, ACIDITY REGULATORS [330 & 331(iii)], GELLING AGENT (440), RAISING AGENTS [500(ii) & 503(ii)] AND COLOUR (122). (Numbers in brackets as per International Numbering System) CONTAINS _WHEAT_, _MILK_ & _SOY_.",500.0,21.7,12.2,79.2,37.3,,5.0,196.0,7.4,2.0,0.0,0.1,31.6,4.0,e,1,1,1,0,0,0,0,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Salted Peanuts,Haldiram'S,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,225.0,18.17,11.0,7.65,,1.17,7.22,148.0,3.77,,,,,,unknown,0,0,0,0,0,0,0,0,1.0,green,high,0.2868,green,high,1.0,green,high,1.0,green,high,0.5639,green,high,0.5639,green,high,0.5639,green,high,0.5639,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Grb Orange Soan Papdi,Grb,200g,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India",,,,,,,,,,,,,,,,unknown,0,0,0,0,0,0,0,0,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low,0.02,amber,low
Bansi Rava,Aashirvaad,500g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India",Durum Wheat,382.0,1.1,0.23,76.0,1.7,,11.1,2.1,,,,,,1.0,b,1,0,0,0,0,0,0,0,0.852,green,high,0.5029999999999999,green,high,0.5498999999999999,green,high,1.0,green,high,0.845,green,high,0.845,green,high,0.845,green,high,0.845,green,high,1.0,green,high,0.946,green,high,0.808,green,high
Gone Mad Gang Of 5 Premium Badam Sticks,Gone Mad,,Snacks,Fried Snacks & Namkeen,"Vegetarian, Green Dot India","SUGAR, REFINED WHEAT FLOUR (MAIDA), EDIBLE VEGETABLE OIL (REFINED PALMOLEIN), NON-DAIRY CREAMER, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), ROASTED ALMOND POWDER (22%). MILK SOLIDS, DEXTROSE MONOHYDRATE, STARCH (TAPIOCA), MALTODEXTRIN, EMULSIFIER (INS 322(0), IODIZED SALT, PERMITTED NATURAL AND SYNTHETIC FOOD COLOURS (INS 150c, INS 150d & INS 124, INS TIO), NATURE IDENTICAL FLAVOURING SUBSTANCE (ALMOND).",488.0,20.0,10.0,71.0,,,7.0,119.0,,,,,,4.0,unknown,1,1,0,1,0,0,0,0,1.0,green,high,0.21000000000000002,amber,high,1.0,green,high,1.0,green,high,0.48999999999999994,green,high,0.48999999999999994,green,high,0.48999999999999994,green,high,0.48999999999999994,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Pro Clean Plant Protein,Yoga Bar,500g,Health & Nutrition,Dietary Supplements,"Vegetarian, Green Dot India","Protein Isolate Blend 73.6% (Pea Protein & Rice Protein), Cocoa Powder 14%, Coconut Milk Powder, Monk Fruit Powder,Natural Flavor & Flavoring Substances, (Xanthan Gum, Acacia Gum). Digestive Herbal Berc Fennel, Cumin, Fenugreek).",153.0,3.8,1.5,5.5,0.0,2.1,25.3,262.29999999999995,,,,,,4.0,not-applicable,0,0,0,0,0,0,0,0,1.0,green,high,0.885,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
Nuts Delight Muesli,Kellogg'S,240g,Staples & Grains,Breakfast Cereals & Muesli,"Vegetarian, Green Dot India","MULTIGRAIN MIX (67.6%) (CORN GRITS (21.2%), WHEAT (16.8%), ROLLED BARLEY (10.5%), ROLLED OATS (10.5%), RICE (8.6% ) ), DRY FRUITS & NUT (20%) (RAISINS (14.5%) [BROWN RAISINS (11.5%), BLACK RAISINS (3%)], ALMONDS (5.5%)), SUGAR, CEREAL EXTRACT, OLIGOFRUCTOSE, WHEAT BRAN, IODIZED SALT, COCOA SOLIDS, VITAMINS, FLAVOURS (NATURE IDENTICAL & ARTIFICIAL (COCONUT), ANTIOXIDANT (INS 307b), MINERAL AND COLOUR (INS 150d).",53.0,5.9,1.0,79.3,21.7,6.8,8.0,520.0,,,,,,4.0,c,1,0,0,1,0,0,1,0,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high,1.0,green,high
